Date,Name,Year,Letterboxd URI
2025-01-02,His Girl Friday,1940,https://boxd.it/25M8
2025-01-02,Sorcerer,1977,https://boxd.it/14J6
2025-01-02,Whisper of the Heart,1995,https://boxd.it/17uy
2025-01-02,All That Jazz,1979,https://boxd.it/1JB8
2025-01-02,Brazil,1985,https://boxd.it/2be2
2025-01-02,Z,1969,https://boxd.it/26pY
2025-01-02,The Big Short,2015,https://boxd.it/ajZw
2025-01-02,Dog Day Afternoon,1975,https://boxd.it/29bg
2025-01-02,Lost Highway,1997,https://boxd.it/29Wc
2025-01-02,Double Indemnity,1944,https://boxd.it/297I
2025-01-02,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA
2025-01-02,The Raid,2011,https://boxd.it/3hBy
2025-01-02,Shall We Dance?,1996,https://boxd.it/1UhS
2025-01-02,Nikita,1990,https://boxd.it/1YYm
2025-01-02,Wild Strawberries,1957,https://boxd.it/29ZU
2025-01-02,Chef,2014,https://boxd.it/6lCG
2025-01-02,The Worst Person in the World,2021,https://boxd.it/oyws
2025-01-02,Almost Famous,2000,https://boxd.it/29CQ
2025-01-02,The Florida Project,2017,https://boxd.it/dMG0
2025-01-02,Mustang,2015,https://boxd.it/baaw
2025-01-02,"4 Months, 3 Weeks and 2 Days",2007,https://boxd.it/27DW
2025-01-02,Love Actually,2003,https://boxd.it/2aeU
2025-01-02,L.A. Confidential,1997,https://boxd.it/27oC
2025-01-02,Midnight Cowboy,1969,https://boxd.it/25Hi
2025-01-02,Cool Hand Luke,1967,https://boxd.it/29jY
2025-01-02,Days of Heaven,1978,https://boxd.it/1JRg
2025-01-02,Lilya 4-ever,2002,https://boxd.it/1SyW
2025-01-02,Another Round,2020,https://boxd.it/lkba
2025-01-02,Yojimbo,1961,https://boxd.it/1SRY
2025-01-02,Basic Instinct,1992,https://boxd.it/2asM
2025-01-02,Police Story,1985,https://boxd.it/1Zhe
2025-01-02,Das Boot,1981,https://boxd.it/2av2
2025-01-02,Thirteen,2003,https://boxd.it/1UPK
2025-01-02,Mother,2009,https://boxd.it/1m9g
2025-01-02,On the Waterfront,1954,https://boxd.it/29TC
2025-01-02,Suspiria,1977,https://boxd.it/1SNW
2025-01-02,Buffalo '66,1998,https://boxd.it/1YC6
2025-01-02,Close,2022,https://boxd.it/y4qa
2025-01-02,La Ciénaga,2001,https://boxd.it/kpk
2025-01-02,Rebel Without a Cause,1955,https://boxd.it/2aQu
2025-01-02,The Bridge on the River Kwai,1957,https://boxd.it/29wo
2025-01-02,After Hours,1985,https://boxd.it/1VfS
2025-01-02,Captain Fantastic,2016,https://boxd.it/b2K2
2025-01-02,Serpico,1973,https://boxd.it/1ZjE
2025-01-02,Into the Wild,2007,https://boxd.it/22m2
2025-01-02,"The Cook, the Thief, His Wife & Her Lover",1989,https://boxd.it/20VO
2025-01-02,Solaris,1972,https://boxd.it/2a2Y
2025-01-02,Thief,1981,https://boxd.it/1TEc
2025-01-02,The Double Life of Véronique,1991,https://boxd.it/28va
2025-01-02,Empire Records,1995,https://boxd.it/1PY8
2025-01-02,Blow Out,1981,https://boxd.it/1TlE
2025-01-02,Silver Linings Playbook,2012,https://boxd.it/2TTo
2025-01-02,Rashomon,1950,https://boxd.it/2a9K
2025-01-02,Moulin Rouge!,2001,https://boxd.it/29wI
2025-01-02,All About My Mother,1999,https://boxd.it/2b9c
2025-01-02,Central Station,1998,https://boxd.it/29RG
2025-01-02,Shallow Grave,1994,https://boxd.it/1XyW
2025-01-02,The Umbrellas of Cherbourg,1964,https://boxd.it/22fK
2025-01-02,Carrie,1976,https://boxd.it/20ZQ
2025-01-02,Kramer vs. Kramer,1979,https://boxd.it/h0w
2025-01-02,Fiddler on the Roof,1971,https://boxd.it/1Nle
2025-01-02,The Fabelmans,2022,https://boxd.it/ugoM
2025-01-02,West Side Story,1961,https://boxd.it/28dK
2025-01-02,The Edge of Seventeen,2016,https://boxd.it/d5nu
2025-01-02,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ
2025-01-02,A Room with a View,1986,https://boxd.it/1UfC
2025-01-02,Ashes and Diamonds,1958,https://boxd.it/23q0
2025-01-02,The Talented Mr. Ripley,1999,https://boxd.it/2924
2025-01-02,Billy Elliot,2000,https://boxd.it/2bdy
2025-01-02,Oppenheimer,2023,https://boxd.it/wUow
2025-01-02,Trading Places,1983,https://boxd.it/28sK
2025-01-02,Mr. Smith Goes to Washington,1939,https://boxd.it/25Ms
2025-01-02,The Searchers,1956,https://boxd.it/25HC
2025-01-02,Brief Encounter,1945,https://boxd.it/29sm
2025-01-02,L'Avventura,1960,https://boxd.it/23hs
2025-01-02,American Graffiti,1973,https://boxd.it/29us
2025-01-02,The Peanut Butter Falcon,2019,https://boxd.it/gzu2
2025-01-02,Orpheus,1950,https://boxd.it/247o
2025-01-02,The Deer Hunter,1978,https://boxd.it/1T6O
2025-01-02,The Conversation,1974,https://boxd.it/2a38
2025-01-02,The Stepford Wives,1975,https://boxd.it/1Sfq
2025-01-02,Shaolin Soccer,2001,https://boxd.it/1T86
2025-01-02,Point Break,1991,https://boxd.it/2958
2025-01-02,Uptown Girls,2003,https://boxd.it/1N64
2025-01-02,Breaking Away,1979,https://boxd.it/1DMO
2025-01-02,Halloween,1978,https://boxd.it/2wRu
2025-01-02,The Motorcycle Diaries,2004,https://boxd.it/28nU
2025-01-02,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6
2025-01-02,Hachi: A Dog's Tale,2009,https://boxd.it/1q4a
2025-01-02,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY
2025-01-02,Au Revoir les Enfants,1987,https://boxd.it/288U
2025-01-02,The Fugitive,1993,https://boxd.it/230G
2025-01-02,Blood Simple,1984,https://boxd.it/1U16
2025-01-02,Harold and Maude,1971,https://boxd.it/2axM
2025-01-02,Beautiful Boy,2018,https://boxd.it/g76Q
2025-01-02,Rope,1948,https://boxd.it/28yo
2025-01-02,The Untouchables,1987,https://boxd.it/2b6i
2025-01-02,The Full Monty,1997,https://boxd.it/1YI4
2025-01-02,A Streetcar Named Desire,1951,https://boxd.it/29Mc
2025-01-02,Bridget Jones's Diary,2001,https://boxd.it/29WQ
2025-01-02,The Last Emperor,1987,https://boxd.it/29Ji
2025-01-02,Arsenic and Old Lace,1944,https://boxd.it/2aRW
2025-01-02,The Sweet Hereafter,1997,https://boxd.it/1WNm
2025-01-02,Eighth Grade,2018,https://boxd.it/hDMG
2025-01-02,Purple Noon,1960,https://boxd.it/1WrU
2025-01-02,The Third Man,1949,https://boxd.it/294E
2025-01-02,The Vanishing,1988,https://boxd.it/1ZTW
2025-01-02,The Return,2003,https://boxd.it/1UpM
2025-01-02,The Muppet Movie,1979,https://boxd.it/1UrS
2025-01-02,The Second Mother,2015,https://boxd.it/9Ydm
2025-01-02,The Great Beauty,2013,https://boxd.it/5ty6
