Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2026-02-26,The Long Walk,2025,https://boxd.it/dj5khB,2.5,Yes,"This movie feels like it was written by a precocious 12 year old. A 12 year old who is really feeling their intellect. The dialogue is so stiff. The emotional impact is almost zero. It's beyond predictable. It's frankly silly. I guess it's a critique of capitalism? It's like if Squid Game, which isn't high brow per se, was actually really dumb.",,2025-09-12
2026-02-26,Eddington,2025,https://boxd.it/dj5khV,2.5,,"I'm not sure what made Ari Aster think he's capable of insightful political commentary but this has proven he isn't. He captured much of the anxiety and hysteria of 2019-2021 but simply depicting what we all lived through isn't some achievement. I'm starting to worry Aster was a one trick pony with Hereditary, kind of like Peele with Get Out. At least Eggers seems to be trying to improve.

Who was this movie made for? What does it ultimately say? What does viewing this film give its audience?",,2025-09-13
2026-02-26,Jeremiah Johnson,1972,https://boxd.it/dj5kif,5,,One of the best Westerns of all time and it's set in the snowy mountains.,,2025-09-17
2026-02-26,The Power of the Dog,2021,https://boxd.it/dj5kiz,2,,"Another unbearable ""slow burn"" where nothing happens and nothing meaningful is said. I am convinced these slow burn directors know they can just film the most boring scenes and film critics will fall over themselves to attribute the most pretentious interpretations to the film.",,2025-09-20
2026-02-26,Spaceman,2024,https://boxd.it/dj5kiJ,2,,At one point Adam Sandler pulls a jar of nutella out of nowhere while floating in outer space to give to a giant Jewish space spider,,2025-09-20
2026-02-26,Burning,2018,https://boxd.it/dj5kjd,2.5,,Another insufferable slow burn. Please make it stop,,2025-09-20
2026-02-26,Donnie Darko,2001,https://boxd.it/dj5kjx,5,,"What does it mean to be alive at one particular time as opposed to another? How much of who we are is static and how much is predicated based on when we are? Every action has a consequence which reverberates throughout the fabric of spacetime affecting everyone else and their actions.

Donnie Darko is a very trippy horror-inspired exploration of one young man's place in space and time. What does it mean that he is there versus his not being there? And given the choice, knowing the outcomes, what should a person do?",,2025-09-21
2026-02-26,The Strange Thing About the Johnsons,2011,https://boxd.it/dj5kjH,4,,One of the most horrific pieces of media you'll ever see,,2025-09-24
2026-02-26,One Battle After Another,2025,https://boxd.it/dj5kjR,5,,"What happens after you retire from your radical politics but the radical politics has not retired from you? A story that perhaps Paul Thomas Anderson was not qualified to tell but handled with as much grace as can be expected from a civilian. Critical of radical leftist politics while still giving us a socialist antihero in DiCaprio.

Imagine if the 2022 ""How to Blow Up A Pipeline"" had deeper characters, double the run time, world class acting, a healthy dose of black comedy, and less political commentary. I.e. an actually fun movie instead of a leftist fever dream. That's this movie.

The movie doesn't have much to say moral wise. It's a character drama, and comedy, between a father and his daughter primarily. There is no great lesson and this movie will not move you. But it taps into the ethos of our time.

As the star of right wing fascism is ascendant, where is the counterbalance of radical leftism as depicted here? Can such fervor be whipped up? Is it a good idea at all? Only time can tell.

The movie brings up these questions but doesn't purport to deal with them. It is focused on you having a raucous good time. That you will have.

Perhaps it could have been 15 minutes shorter.

Otherwise a remarkable movie.

Edit: the WH was not a fan. https://www.whitehouse.gov/presidential-actions/2025/09/countering-domestic-terrorism-and-organized-political-violence/",,2025-09-26
2026-02-26,Perfect Blue,1997,https://boxd.it/dj5kk1,5,,"A movie about chastity, sexual objectification, the internet, depersonalization, being terminally online, and disassociative personalities. What happens when the vicarious vessel we live through, the ideal of chastity, betrays that ideal by having its own will? Has the internet become a way for the most mentally afflicted to aggregate and multiply their effects? Or was it always like that?

Satoshi Kon has created perhaps the perfect psychological thriller. One that plays with the viewer's perception of reality and makes them question what is happening after the credits roll. It's a movie about control, reliving a glorious past vicariously, agency, sexuality, violence, and who we are.

The central question being asked here is: who are you? The refrain is repeated throughout the movie. Who are you, the viewer? Do your collection of continuous memories constitute an identity? Can you even trust those memories? Are dreams any less than the waking world? The dreams of our imagination or even the dreams of sleep?

Perfect Blue asks all of these questions.",,2025-10-05
